이름,레벨,서식지,시간대,날씨,판매가,시즌,이미지ID
호랑나비,1,숲,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,101
유럽갈고리나비,1,도시,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,104
멧노랑나비,1,도시 근교,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,107
배추흰나비,1,어촌,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,119
아폴로모시나비,1,곤충 유인 사건,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,121
붉은고리호랑나비,1,곤충 유인 사건,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",30,일반,123
슬코스키몰포나비,1,곤충 유인기,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",90,유인기,126
아스파라거스벌레,1,꽃밭,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",55,일반,203
별노린재,1,홈,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",35,일반,401
큰고추잠자리,1,물가,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",35,일반,501
오아시스메뚜기,2,온천산,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",45,일반,301
연푸른 부전나비,2,도심,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",105,일반,103
녹색호랑풍뎅이,2,온천산,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",110,일반,202
말벌호랑하늘소,2,숲,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",110,일반,205
파란꽃풍뎅이,2,홈,"아침, 낮, 저녁, 새벽","비, 무지개",165,일반,209
망치다리메뚜기,2,어촌,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",90,일반,303
칠성무당벌레,2,도시 근교,"아침, 낮, 저녁, 새벽","비, 무지개",110,일반,405
넉점박이잠자리,2,근교 호숫가,"아침, 낮, 저녁, 새벽","비, 무지개",75,일반,502
호박벌,2,꽃밭,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",110,일반,702
붉은목제비나비,3,홈,"아침, 저녁, 새벽","맑음, 비, 무지개",90,일반,113
홍날개,3,온천산-온천,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",110,일반,206
분홍색 철써기,3,곤충 유인 사건,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",90,일반,302
여치,3,꽃밭-보라빛 해변,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",180,희귀,308
흰점꼬리털벌,3,숲-순록탑,"아침, 낮, 저녁","맑음, 비, 무지개",165,일반,704
개미,3,어촌-어촌 광장,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",220,희귀,1101
보라네발나비,3,꽃밭-고래산,"아침, 낮, 저녁, 새벽","맑음, 무지개",90,일반,106
긴꼬리산누에나방,3,도시 근교,"아침, 낮, 저녁","맑음, 무지개",105,일반,118
표범무늬네발나비,4,어촌-부두,"아침, 저녁, 새벽","비, 무지개",90,일반,108
사성 무당벌레,4,온천산-화산 호수,"아침, 낮, 저녁, 새벽","비, 무지개",165,일반,407
매미,4,숲-영혼의 참나무 숲,"낮, 저녁, 새벽","맑음, 비, 무지개",220,일반,1401
밀잠자리,4,강변,"아침, 낮, 저녁, 새벽","비, 무지개",75,일반,505
큰줄무늬메뚜기,4,도시 근교,"낮, 저녁, 새벽","맑음, 무지개",140,일반,304
무지개 사마귀,4,온천산-바위절벽,"아침, 낮, 저녁, 새벽","맑음, 무지개",195,일반,602
공작나비,5,꽃밭-풍차꽃밭,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",90,일반,105
신선나비,5,온천산-온천,"아침, 낮, 새벽","맑음, 무지개",90,일반,109
흰마녀밤나방,5,곤충 유인 사건,"아침, 낮, 저녁, 새벽","맑음, 무지개",90,일반,122
고산수염하늘소,5,숲-숲속 섬,"아침, 낮, 저녁, 새벽",무지개,165,일반,208
이색무당벌레,5,숲-순록탑,"낮, 저녁, 새벽","비, 무지개",165,일반,404
파푸아사마귀,5,온천산-유적,"아침, 낮, 저녁, 새벽","맑음, 무지개",390,희귀,606
보라벌,5,꽃밭-고래산,"아침, 낮, 저녁, 새벽","맑음, 무지개",165,일반,703
녹색날개호랑나비,6,도시 근교,"아침, 저녁, 새벽","맑음, 비, 무지개",150,일반,112
산악사슴벌레,6,숲-점핑 플랫폼,"낮, 저녁, 새벽","비, 무지개",275,일반,201
은빛보석풍뎅이,6,온천산-바위절벽,"아침, 낮, 새벽","맑음, 무지개",165,일반,220
파란노린재,6,어촌-어촌등대,"낮, 저녁","맑음, 비, 무지개",110,일반,402
물잠자리,6,숲-숲속 호수,"아침, 낮, 저녁, 새벽","비, 무지개",110,일반,504
메넬라우스나비,7,숲-영혼의 참나무 숲,"아침, 낮, 저녁","맑음, 무지개",150,일반,116
왕나비,7,곤충 유인 사건,"아침, 낮, 저녁, 새벽","비, 무지개",150,일반,120
티폰쇠똥구리,7,온천산-유적,"아침, 낮, 저녁","맑음, 비, 무지개",275,일반,204
보석꽃풍뎅이,7,꽃밭-고래산,"낮, 저녁","비, 무지개",275,일반,210
황금보석풍뎅이,7,숲-점핑 플랫폼,"낮, 저녁","맑음, 무지개",275,일반,221
찔레잠자리,7,온천산-온천산수,"낮, 저녁, 새벽",무지개,185,일반,503
이사벨라나방,8,숲-영혼의 참나무 숲,"낮, 저녁","맑음, 무지개",150,일반,102
혜성꼬리나방,8,도시 근교,"저녁, 새벽","맑음, 무지개",240,일반,115
장수풍뎅이,8,어촌-어촌 동쪽 부두,"저녁, 새벽","맑음, 무지개",275,일반,213
피카소노린재,8,꽃밭-보라빛 해변,"저녁, 새벽","맑음, 무지개",185,일반,403
진주네발나비,9,꽃밭,"아침, 새벽","비, 무지개",240,일반,117
황금귀신사슴벌레,9,숲-영혼의 참나무 숲,"저녁, 새벽","비, 무지개",440,일반,215
무지개사슴벌레,9,곤충 유인 사건,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",440,일반,211
악마꽃사마귀,9,온천산-유적,"낮, 저녁","비, 무지개",515,일반,603
푸른목수벌,9,어촌-어촌 광장,"저녁, 새벽",무지개,440,일반,701
헬레나몰포나비,10,꽃밭 - 보랏빛 해변,"아침, 낮",무지개,240,일반,111
헤쿠바몰포나비,10,숲-순록탑,"아침, 낮",무지개,240,일반,114
헤라클레스풍뎅이,10,온천산-화산 호수,"저녁, 새벽","맑음, 무지개",440,일반,214
나선주머니나방,10,숲-순록탑,"저녁, 새벽","맑음, 무지개",440,일반,801
,,,,,,,
얼음 결정 진주네발나비,1,숲-점핑 플랫폼,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",60,빙설 시즌,
얼음 결정 삼색청띠제비나비,1,숲-영혼의 참나무 숲,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",60,빙설 시즌,
얼음 결정 알렉산더비단나비,1,숲-순록탑,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",60,빙설 시즌,
얼음 결정 슬코스키몰포나비,1,숲-순록탑,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",60,빙설 시즌,
얼음 결정 멜포메네길쭉나비,1,얼음 결정 나비 사건,"아침, 낮, 저녁, 새벽","맑음, 비, 무지개",90,빙설 시즌,